강좌명\학교명,SNU,KAIST,Korea,Postech,SKKU,Google,Microsoft,Amazon,Coursera,Edx,udacity,Udemy,CMU,Berkeley,MIT,Columbia,Cornell,Harvard,Stanford,MarylandCP,MichiganAA,IllinoisUC,Caltech,GeorgiaTech
,,,,,,,,,,,,,,,,"(0.3, 'CALCULUS III')",,"(0.5, 'Multivariable Calculus')",,"(0.3, 'Calculus III')",,"(0.3, 'Calculus II')",,
,,,,,,,,,,,,,,,,,,,,"(0.5, 'Calculus for Life Science I ')",,"(0.3, 'Calculus III')",,
,,,,,,,,,,,,,,,,,,,,"(0.5, 'Calculus for Life Sciences')",,"(0.4, 'Intro Differential Equations')",,
,,,,,,,,,,,,,,,,,,,,"(0.5, 'Multivariable Mathematics I')",,"(0.4, 'Intro to Differential Eq Plus')",,
,,,,,,,,,,,,,,,,,,,,"(0.5, 'Multivariable Calculus, Linear Algebra, Differential Equations II')",,,,
,,,,,,,,,,,,,,,,,,,,"(0.5, 'Differential Equations for Scientists and Engineers')",,,,
Linear Algebra,"(0.8, '선형 및 비선형 계산모델')",,"(1, '선형대수 (Linear Algebra)')","(1, '응용선형대수')","(1, '선형대수')",,,,,,"(1, 'Linear Algebra Refresher Course')","(0.7, 'Matrix Algebra')","(0.8, 'Matrices and Linear Transformations')","(1, 'Linear Algebra and Differential Equations')",,"(1, 'LINEAR ALGEBRA')","(0.9, 'Numerical Analysis: Linear and Nonlinear Problems')","(1, 'Linear Algebra and Differential Equations')","(1, 'Linear Algebra and Matrix Theory.')","(1, 'Linear Algebra')","(1, 'Applied Linear Algebra')","(1, 'Applied Linear Algebra')","(0.5, 'Calculus of One and Several Variables and Linear Algebra')",
,,,,,,,,,,,,"(1, 'Become a Linear Algebra Master')",,,,,"(0.8, 'Computational Mathematics for Computer Science')",,"(1, 'Linear Algebra, Multivariable Calculus, and Modern Applications.')","(1, 'Linear Algebra for Scientists and Engineers')",,,"(1, 'Applied Linear Algebra')",
,,,,,,,,,,,,,,,,,"(1, 'Linear Algebra for Engineers')",,"(0.7, 'Applied Matrix Theory.')",,,,,
Discrete Mathematics and Probability Theory,"(0.8, '이산수학')","(0.8, '이산구조')","(0.8, '확률과 통계 (Probability and Statistics)')","(0.8, '전산수학')","(0.8, '확률 및 통계')",,,,,"(0.8, 'Probability and Statistics in Data Science using Python')",,"(0.7, 'Become a Probability & Statistics Master')","(0.8, 'Probability Theory for Computer Scientists')","(1, 'Discrete Mathematics and Probability Theory')","(0.5, 'Introduction to Probability')","(0.8, 'Discrete Mathematics: Introduction To Combinatorics and Graph Theory')","(0.8, 'Discrete Structures')","(0.8, 'Discrete mathematics for computer science')","(0.8, 'Theory of Probability.')","(0.8, 'Discrete Mathematics for Life Sciences')","(0.8, 'Discrete Mathematics')","(0.8, 'Discrete Structures')","(0.8, 'Introduction to Probability and Statistics')","(0.8, 'Introduction to Discrete Mathematics for Computer Science')"
