강좌명\학교명,SNU,KAIST,Korea,udacity,Udemy,CMU,Berkeley,MIT,GeorgiaTech
Graduate Artificial Intelligence,"(1, '고급 인공지능')","(1, '인공지능 및 기계학습')",,,,"(1, 'Graduate Artificial Intelligence')",,,"(1, 'Artificial Intelligence')"
Artificial Intelligence for Robotics,,"(1, '지능 로봇 설계 및 프로그래밍')","(1, '지능로봇 (Intelligent Robotics)')","(1, 'Artificial Intelligence for Robotics')",,,,,"(1, 'Artificial Intelligence for Robotics')"
,,"(1, '지능형 로보틱스')",,,,,,,
Case-Based Reasoning,,,,,,,,,"(1, 'Case-Based Reasoning')"
Knowledge-Based Modeling and Design,,,"(1, '지식 기반 시스템 (Knowledge-Based System)')",,,,,,"(1, 'Knowledge-Based Modeling and Design')"
,,,,,,,,,"(1, 'Knowledge-Based Artificial Intelligence')"
,,,,,,,,,"(1, 'Knowledge-Based AI(graduate)')"
Human Information Processing and Artificial Intelligence,,,,,,"(1, 'Human Information Processing and Artificial Intelligence')",,"(1, 'The Human Intelligence Enterprise')","(1, 'Introduction to Behavioral Imaging')"
Game Artificial Intelligence,,,,,"(0.5, 'Artificial Intelligence I: Basics and Games in Java')",,,,"(1, 'Game AI')"
,,,,,"(1, 'Game Devs Unleash Artificial Intelligence: Flocking Agents')",,,,"(1, 'Game Artificial Intelligence(graduate)')"
,,,,,"(1, 'The Complete Unity® Masterclass: Build 2D & 3D AI Games')",,,,
Design of Artificial Intelligence Products,,"(1, '인공 지능 기반 소프트웨어 공학')","(0.7, '에이전트 인공지능 (Intelligent Agent)')","(1, 'Become a Self-Driving Car Engineer')","(1, 'Website Design - Create websites in minutes with AI Tools')","(1, 'Design of Artificial Intelligence Products')",,,"(0.6, 'Modeling and Design')"
,,"(1, '시멘틱웹')","(1, '헬스케어 인공지능 (Healthcare Artificial Intelligence)')","(1, 'Intro to Self-Driving Cars')","(1, 'Make predictions with Python machine learning for apps')",,,,
,,,"(1, '문화콘텐츠 인공지능 (Cultural Content Artificial Intelligence)')","(1, 'Flying Car and Autonomous Flight Engineer')","(1, 'Mobile VR Virtual Reality & Artificial Intelligence in Unity')",,,,
,,,"(1, '자율주행 인공지능 (Autonomous Driving Artificial Intelligence..')","(1, 'Self-Driving Fundamentals: Featuring Apollo')","(1, 'Learn To Gain Writing Skills Using Artificial Intelligence')",,,,
,,,"(1, '정보보호')",,"(1, 'RoboAuthor: Content Writing Automation 2019 - Part 1')",,,,
,,,,,"(1, 'Learning Path: Artificial Intelligence for Apps and Games')",,,,
,,,,,"(1, '인공 지능과 챗봇 기본지식')",,,,
,,,,,"(1, 'Chatbot - JavaScript')",,,,
Introduction to Deep Learning,,,"(1, '딥러닝 (Deep Learning)')","(1, 'Deep Learning')","(1, 'Artificial Intelligence II - Neural Networks in Java')","(1, 'Introduction to Deep Learning')",,,"(1, 'Deep Learning')"
,,,"(0.7, '신경망 (Neural Networks)')",,"(1, 'Artificial Intelligence III - Deep Learning in Java')",,,,
,,,,,"(1, 'Machine Learning Data Science Deep Learning Neural Networks')",,,,
Intermediate Deep Learning,"(0.7, '인공신경망')",,"(1, '고급 딥러닝 (Advanced Deep Learning)')",,"(0.5, 'Deep Learning: CNNs for Visual Recognition')","(1, 'Intermediate Deep Learning')",,,"(1, 'Deep Learning')"
,,,,,"(0.5, 'Deep Learning: Recurrent Neural Networks in Python')",,,,
딥러닝 응용 및 실습,,,"(1, '딥러닝 응용 및 실습 (Deep Learning Application and Practice)')","(1, 'Intro to TensorFlow for Deep Learning')","(0.5, 'Artificial Intelligence A-Z™: Learn How To Build An AI')",,,,
,,,,"(1, 'Intro to Deep Learning with PyTorch')","(1, 'TensorFlow 101: Introduction to Deep Learning')",,,,
,,,,,"(1, 'Practical Deep Learning: Image Search engine')",,,,
,,,,,"(1, 'JavaScript를 사용한 인공 지능 및 기계 학습')",,,,
Computational Systems Biology: Deep Learning in the Life Sciences,,,,,,,,"(1, 'Computational Systems Biology: Deep Learning in the Life Sciences')",
Deep Reinforcement Learning,,"(1, '강화학습')","(1, '강화학습 (Reinforcement Learning)')","(1, 'Deep Reinforcement Learning')","(1, 'Artificial Intelligence IV - Reinforcement Learning in Java')","(1, 'Deep Reinforcement Learning')",,,"(1, 'Reinforcement Learning and Decision Making')"
,,,,,,"(1, 'Deep Reinforcement Learning & Control')",,,
Pattern Recognition,,"(1, '패턴인식')",,,,,,,"(1, 'Pattern Recognition')"
,,,,,,,,,"(1, 'Pattern Recognition(graduate)')"
